case_id,category,expected,detected,status,error_types,evidence_path,notes
"basic_arithmetic-001","BASIC_ARITHMETIC","7","7","WRONG_STRUCTURE","","failures/basic_arithmetic-001.png",""
"basic_arithmetic-002","BASIC_ARITHMETIC","108","108","WRONG_STRUCTURE","STROKE_ORDER_SENSITIVE","failures/basic_arithmetic-002.png",""
"basic_arithmetic-003","BASIC_ARITHMETIC","-42","-42","WRONG_STRUCTURE","","failures/basic_arithmetic-003.png",""
"basic_arithmetic-004","BASIC_ARITHMETIC","3.14159","3_.14159","WRONG_STRUCTURE","","failures/basic_arithmetic-004.png",""
"basic_arithmetic-005","BASIC_ARITHMETIC","12+8","12+8","WRONG_STRUCTURE","","failures/basic_arithmetic-005.png",""
"basic_arithmetic-006","BASIC_ARITHMETIC","95-47","95-47","WRONG_STRUCTURE","","failures/basic_arithmetic-006.png",""
"basic_arithmetic-007","BASIC_ARITHMETIC","13*9","13 \times 9","WRONG_STRUCTURE","","failures/basic_arithmetic-007.png",""
"basic_arithmetic-009","BASIC_ARITHMETIC","8(4+3)","8(4+3)","WRONG_STRUCTURE","","failures/basic_arithmetic-009.png",""
"basic_arithmetic-010","BASIC_ARITHMETIC","25%","25","WRONG_STRUCTURE","STROKE_ORDER_SENSITIVE","failures/basic_arithmetic-010.png",""
"basic_arithmetic-011","BASIC_ARITHMETIC","3:5","3:5","WRONG_STRUCTURE","","failures/basic_arithmetic-011.png",""
"basic_arithmetic-012","BASIC_ARITHMETIC","18-(-7)","18-(-7)","WRONG_STRUCTURE","","failures/basic_arithmetic-012.png",""
"basic_arithmetic-015","BASIC_ARITHMETIC","[14-3]*5","[1 \times-3] \times 5","WRONG_STRUCTURE","DIGIT_CONFUSION|OVERWRITING_ERROR","failures/basic_arithmetic-015.png",""
"basic_arithmetic-016","BASIC_ARITHMETIC","0.006+1.04","0_.006+1_.04","WRONG_STRUCTURE","","failures/basic_arithmetic-016.png",""
"basic_arithmetic-017","BASIC_ARITHMETIC","-7*-8","-7x-8","WRONG_STRUCTURE","","failures/basic_arithmetic-017.png",""
"basic_arithmetic-019","BASIC_ARITHMETIC","100-99+98-97","100-99+98-97","WRONG_STRUCTURE","","failures/basic_arithmetic-019.png",""
"basic_arithmetic-020","BASIC_ARITHMETIC","2(3+4(5-2))","2(3+4(5-2))","WRONG_STRUCTURE","","failures/basic_arithmetic-020.png",""
"basic_arithmetic-021","BASIC_ARITHMETIC","9999+1","9999+1","WRONG_STRUCTURE","","failures/basic_arithmetic-021.png",""
"basic_arithmetic-022","BASIC_ARITHMETIC","6.02*10^23","6_.02*10^23","PARTIAL","","failures/basic_arithmetic-022.png",""
"basic_arithmetic-023","BASIC_ARITHMETIC","0/7","0.17","WRONG_STRUCTURE","DIGIT_CONFUSION|FRACTION_MISREAD","failures/basic_arithmetic-023.png",""
"basic_arithmetic-024","BASIC_ARITHMETIC","7.0-0.07","7_.0-0_.07","WRONG_STRUCTURE","","failures/basic_arithmetic-024.png",""
"basic_arithmetic-025","BASIC_ARITHMETIC","1-2-3-4","1-2-3-4","WRONG_STRUCTURE","","failures/basic_arithmetic-025.png",""
"basic_arithmetic-026","BASIC_ARITHMETIC","2--3","2-3","WRONG_STRUCTURE","STROKE_ORDER_SENSITIVE","failures/basic_arithmetic-026.png",""
"basic_arithmetic-028","BASIC_ARITHMETIC","(1+2)(3+4)","(1+2)(3+4)","WRONG_STRUCTURE","","failures/basic_arithmetic-028.png",""
"basic_arithmetic-029","BASIC_ARITHMETIC","12.5%","12_.5","WRONG_STRUCTURE","","failures/basic_arithmetic-029.png",""
"basic_arithmetic-031","BASIC_ARITHMETIC","1,024+2,048","1_.024+2_.048","WRONG_STRUCTURE","CROWDING_SENSITIVE","failures/basic_arithmetic-031.png",""
"basic_arithmetic-032","BASIC_ARITHMETIC","0.333...","0_.333_(...)","WRONG_STRUCTURE","","failures/basic_arithmetic-032.png",""
"basic_arithmetic-033","BASIC_ARITHMETIC","","","MANUAL_REVIEW_REQUIRED","","failures/basic_arithmetic-033.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"basic_arithmetic-034","BASIC_ARITHMETIC","3!+4!","3!+4!","WRONG_STRUCTURE","STROKE_ORDER_SENSITIVE","failures/basic_arithmetic-034.png",""
"basic_arithmetic-035","BASIC_ARITHMETIC","2^10","2^70","PARTIAL","DIGIT_CONFUSION","failures/basic_arithmetic-035.png","Image pass unavailable; result uses digital ink and parser evidence."
"basic_arithmetic-036","BASIC_ARITHMETIC","sqrt(144)","55+ \frac{5}{2}44","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/basic_arithmetic-036.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"basic_arithmetic-037","BASIC_ARITHMETIC","1+2+3+4+5+6+7+8","1+2+3+4+5+6+7+8","WRONG_STRUCTURE","","failures/basic_arithmetic-037.png",""
"basic_arithmetic-039","BASIC_ARITHMETIC","7+?=12","7+=12","PARTIAL","","failures/basic_arithmetic-039.png",""
"algebraic_expressions-001","ALGEBRAIC_EXPRESSIONS","3x+5","3x+5","WRONG_STRUCTURE","","failures/algebraic_expressions-001.png",""
