case_id,category,expected,detected,status,error_types,evidence_path,notes
"basic_arithmetic-004","BASIC_ARITHMETIC","3.14159","3_.14159","PARTIAL","","failures/basic_arithmetic-004.png",""
"basic_arithmetic-010","BASIC_ARITHMETIC","25%","25","WRONG_SYMBOL","","failures/basic_arithmetic-010.png",""
"basic_arithmetic-015","BASIC_ARITHMETIC","[14-3]*5","[1 \times-3] \times 5","PARTIAL","DIGIT_CONFUSION","failures/basic_arithmetic-015.png",""
"basic_arithmetic-016","BASIC_ARITHMETIC","0.006+1.04","0_.006+1_.04","PARTIAL","","failures/basic_arithmetic-016.png",""
"basic_arithmetic-017","BASIC_ARITHMETIC","-7*-8","-7x-8","PARTIAL","","failures/basic_arithmetic-017.png",""
"basic_arithmetic-022","BASIC_ARITHMETIC","6.02*10^23","6_.02*10^23","PARTIAL","","failures/basic_arithmetic-022.png",""
"basic_arithmetic-023","BASIC_ARITHMETIC","0/7","0.17","WRONG_STRUCTURE","DIGIT_CONFUSION|FRACTION_MISREAD","failures/basic_arithmetic-023.png",""
"basic_arithmetic-024","BASIC_ARITHMETIC","7.0-0.07","7_.0-0_.07","PARTIAL","","failures/basic_arithmetic-024.png",""
"basic_arithmetic-026","BASIC_ARITHMETIC","2--3","2-3","PARTIAL","","failures/basic_arithmetic-026.png",""
"basic_arithmetic-029","BASIC_ARITHMETIC","12.5%","12_.5","WRONG_SYMBOL","","failures/basic_arithmetic-029.png",""
"basic_arithmetic-031","BASIC_ARITHMETIC","1,024+2,048","1_.024+2_.048","WRONG_SYMBOL","","failures/basic_arithmetic-031.png",""
"basic_arithmetic-032","BASIC_ARITHMETIC","0.333...","0_.333_(...)","PARTIAL","","failures/basic_arithmetic-032.png",""
"basic_arithmetic-033","BASIC_ARITHMETIC","","","MANUAL_REVIEW_REQUIRED","","failures/basic_arithmetic-033.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"basic_arithmetic-035","BASIC_ARITHMETIC","2^10","2^70","PARTIAL","DIGIT_CONFUSION","failures/basic_arithmetic-035.png","Image pass unavailable; result uses digital ink and parser evidence."
"basic_arithmetic-036","BASIC_ARITHMETIC","sqrt(144)","55+ \frac{5}{2}44","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/basic_arithmetic-036.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"basic_arithmetic-039","BASIC_ARITHMETIC","7+?=12","7+=12","PARTIAL","","failures/basic_arithmetic-039.png",""
"algebraic_expressions-005","ALGEBRAIC_EXPRESSIONS","a(b+c)-d","a+b+c \geq-a","WRONG_SYMBOL","LETTER_CONFUSION","failures/algebraic_expressions-005.png",""
"algebraic_expressions-006","ALGEBRAIC_EXPRESSIONS","","","MANUAL_REVIEW_REQUIRED","","failures/algebraic_expressions-006.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"algebraic_expressions-007","ALGEBRAIC_EXPRESSIONS","(x+y)^2","(x+y)^?","PARTIAL","DIGIT_CONFUSION|LOW_CONFIDENCE","failures/algebraic_expressions-007.png",""
"algebraic_expressions-012","ALGEBRAIC_EXPRESSIONS","p(q-r)+s","p(-r)+s","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-012.png",""
"algebraic_expressions-014","ALGEBRAIC_EXPRESSIONS","l^2+1","1^2+1","PARTIAL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/algebraic_expressions-014.png",""
